x;y;z
-2.209508;-0.1072754;1.526881
-2.215508;-0.1133435;1.536261
-2.214583;-0.1180254;1.535902
-2.225304;-0.13527;1.539719
-2.194261;-0.1289476;1.528453
-2.210151;-0.1392785;1.534185
-2.210151;-0.1392785;1.534185
-2.210151;-0.1392785;1.534185
-2.210151;-0.1392785;1.534185
-2.210151;-0.1392785;1.534185
-2.210151;-0.1392785;1.534185
-2.361484;-0.1684875;2.381943
 ; ; 
-2.368753;-0.1631111;2.313541
-2.115235;-0.02507001;2.045938
 ; ; 
-2.226223;-0.03346956;2.100072
 ; ; 
-2.21506;-0.03219816;2.084825
-2.161225;-0.02830532;2.062736
-2.09178;-0.02325043;2.033475
-2.085305;-0.02292052;2.033994
-2.084548;-0.02279404;2.032037
-2.0833;-0.0227651;2.032933
-2.057269;-0.0208362;2.021181
-2.044996;-0.02000603;2.017462
-2.039379;-0.01966113;2.016566
-2.058265;-0.02088681;2.021099
-2.074836;-0.02212843;2.028894
-2.072612;-0.02188432;2.026068
-2.069044;-0.02166981;2.025603
-2.064883;-0.02135009;2.023461
-2.068215;-0.02160519;2.025155
-2.074264;-0.0220429;2.027645
-2.079136;-0.02231136;2.027717
-2.065093;-0.02119714;2.019687
-2.064102;-0.02111396;2.019015
-2.064766;-0.02114335;2.01886
-2.065276;-0.02118811;2.019249
-2.064308;-0.02110374;2.018522
-2.056812;-0.02058971;2.016089
-2.048387;-0.01997611;2.012532
-2.047181;-0.01987341;2.01168
-2.038755;-0.01932827;2.009698
-2.026315;-0.0184001;2.003936
-2.034103;-0.01895288;2.006893
-2.03557;-0.01901647;2.006519
-2.040009;-0.01933053;2.00818
-2.040439;-0.01933563;2.007758
-2.024574;-0.01816943;2.000814
-2.018241;-0.01773539;1.998763
-2.014572;-0.01750463;1.998054
-2.018725;-0.0177936;1.999495
-2.025788;-0.01833349;2.003065
-2.033697;-0.0189122;2.006465
-2.060542;-0.02076897;2.015542
-2.063155;-0.02098662;2.017274
-2.005269;-0.01701143;1.998361
-1.95237;-0.01341704;1.981958
-1.935247;-0.01386699;1.977454
-1.934417;-0.01730978;1.978709
-1.93365;-0.01638976;1.980532
-1.932946;-0.01691887;1.981982
-1.932095;-0.01512942;1.98413
-1.933097;-0.01247558;1.984437
-1.937878;-0.01282248;1.986427
-1.938327;-0.01298836;1.989677
-1.945272;-0.01358247;1.994637
-1.93519;-0.01302162;1.994366
-1.92464;-0.01320383;2.011755
-1.92464;-0.01320383;2.011755
-1.949266;-0.08229816;2.569307
-1.943348;-0.08176294;2.565611
-1.944829;-0.08189884;2.566671
-1.944164;-0.0818755;2.56876
-1.950278;-0.08247754;2.575911
-1.960196;-0.0833801;2.582499
-1.965001;-0.08385861;2.588483
-1.965001;-0.08385861;2.588483
-1.965001;-0.08385861;2.588483
-1.965001;-0.08385861;2.588483
-1.965001;-0.08385861;2.588483
-1.965001;-0.08385861;2.588483
-1.909435;-0.08410853;2.445447
-1.904004;-0.08117142;2.44412
-1.89486;-0.08205733;2.441914
-1.896821;-0.07662541;2.442343
-1.907443;-0.07715708;2.464633
-1.910307;-0.07734627;2.461495
-1.928243;-0.1022205;2.450079
-1.926349;-0.1070449;2.449648
-1.926349;-0.1070449;2.449648
-1.926349;-0.1070449;2.449648
-1.926349;-0.1070449;2.449648
-1.926349;-0.1070449;2.449648
-1.67587;-0.5207945;2.359271
-1.67587;-0.5207945;2.359271
-1.677146;-0.5208178;2.364098
-1.681999;-0.5208246;2.3669
-1.685491;-0.5208184;2.366832
-1.688;-0.5208211;2.368113
-1.694985;-0.5208571;2.377182
-1.69595;-0.5208688;2.379701
-1.696187;-0.5208872;2.383271
-1.70013;-0.5208946;2.385907
-1.693751;-0.5208645;2.3782
-1.692133;-0.5208548;2.37582
